time,HGF,HGF_au,unit_HGFs
0,40,2.0219472751599,ng/ml
2,40,35.3554893718192,ng/ml
5,40,35.378879507393,ng/ml
10,40,30.6306819859057,ng/ml
15,40,31.3297871491679,ng/ml
20,40,33.3387399045646,ng/ml
30,40,26.4412488142376,ng/ml
40,40,28.489185128924,ng/ml
60,40,29.1649001566124,ng/ml
90,40,19.6944941531642,ng/ml
120,40,21.370787202622,ng/ml
180,40,21.1394847508363,ng/ml
360,40,13.4987071300521,ng/ml
1080,40,6.22437496659122,ng/ml
1440,40,5.35114323850159,ng/ml
2640,40,1.84002399847457,ng/ml
0,40,1.92578782891194,ng/ml
2,40,37.665914985723,ng/ml
5,40,37.3878322627897,ng/ml
10,40,32.5642665266756,ng/ml
15,40,33.0268714302469,ng/ml
20,40,32.7150029559291,ng/ml
30,40,25.3912916173679,ng/ml
40,40,30.3681926866883,ng/ml
60,40,30.0043461333176,ng/ml
90,40,25.3575058659835,ng/ml
120,40,22.5532885010767,ng/ml
180,40,21.9659362077783,ng/ml
360,40,13.8781471071387,ng/ml
1080,40,6.90268889823227,ng/ml
1440,40,5.92030320413144,ng/ml
2640,40,0.790066801604899,ng/ml
0,40,2.46635985106266,ng/ml
2,40,37.2267002177255,ng/ml
5,40,37.5437664999485,ng/ml
10,40,30.9815340195131,ng/ml
15,40,32.9644977353833,ng/ml
20,40,34.3601091579551,ng/ml
30,40,27.618552304787,ng/ml
40,40,29.1960870040442,ng/ml
60,40,30.7840173191119,ng/ml
90,40,24.3491311323562,ng/ml
120,40,22.735211777762,ng/ml
180,40,23.2419980485283,ng/ml
360,40,13.8729492992334,ng/ml
1080,40,6.0814352491956,ng/ml
1440,40,5.57205007447665,ng/ml
2640,40,2.20387055184524,ng/ml
