time,Gel,HGF_input,pMet_au,tMet
0,1,100,356000,377000
5,1,100,2330000,563000
10,1,100,3090000,708000
15,1,100,2520000,673000
20,1,100,2480000,503000
25,1,100,1170000,170000
30,1,100,2250000,429000
35,1,100,1040000,335000
40,1,100,1130000,233000
60,1,100,944000,246000
120,1,100,1130000,263000
240,1,100,311000,117000
360,1,100,668000,130000
0,3,100,1810000,4700000
2,3,100,8530000,4070000
5,3,100,6520000,2620000
7,3,100,9170000,3600000
10,3,100,8580000,2440000
15,3,100,6280000,1700000
20,3,100,6330000,1670000
25,3,100,4380000,840000
30,3,100,4590000,901000
35,3,100,6310000,1750000
40,3,100,4300000,959000
60,3,100,3240000,471000
180,3,100,1380000,173000
360,3,100,1520000,152000
0,5,100,906000,1790000
0,5,100,428000,2040000
1,5,100,2830000,2300000
2,5,100,2600000,1560000
4,5,100,5860000,3080000
6,5,100,4630000,2000000
9,5,100,8590000,3710000
12,5,100,6420000,1770000
15,5,100,5980000,2180000
20,5,100,6050000,2420000
25,5,100,3050000,913000
30,5,100,3240000,1370000
40,5,100,2600000,972000
60,5,100,2330000,824000
90,5,100,1600000,622000
120,5,100,524000,269000
180,5,100,1110000,433000
0.5,5,100,2760000,1870000
1.5,5,100,3040000,1990000
0,6,100,757000,492000
0,6,100,1910000,1550000
1,6,100,2480000,798000
2,6,100,1540000,648000
4,6,100,1720000,198000
6,6,100,4000000,536000
9,6,100,3100000,575000
12,6,100,5820000,693000
15,6,100,3050000,584000
20,6,100,830000,117000
25,6,100,1270000,280000
30,6,100,4290000,614000
40,6,100,4130000,793000
60,6,100,2900000,261000
90,6,100,1040000,75158
120,6,100,1530000,201000
180,6,100,409000,41859
0.5,6,100,2740000,1730000
1.5,6,100,1300000,334000
0,8,100,551000,1210000
0,8,100,829000,2660000
1,8,100,2170000,1690000
2,8,100,4790000,4310000
4,8,100,3830000,2700000
6,8,100,4620000,2960000
9,8,100,4550000,1720000
12,8,100,4560000,2120000
15,8,100,6410000,2560000
20,8,100,5160000,2350000
25,8,100,2520000,1390000
30,8,100,5550000,2800000
40,8,100,5660000,2370000
60,8,100,4290000,1950000
0.5,8,100,1690000,1690000
1.5,8,100,1860000,1670000
15,17,0,644000,1210000
15,17,5,2050000,1380000
15,17,10,3200000,1050000
15,17,20,3070000,1330000
15,17,30,5270000,1890000
15,17,40,5720000,1610000
15,17,50,3910000,800000
15,17,60,3180000,603000
15,17,80,4070000,854000
15,17,100,4770000,719000
15,17,120,5750000,917000
15,17,150,5150000,1140000
15,18,0,2080000,2870000
15,18,5,3290000,1640000
15,18,10,4300000,1700000
15,18,20,5950000,1780000
15,18,30,5790000,1610000
15,18,40,4000000,1280000
15,18,50,4420000,1110000
15,18,60,4260000,1410000
15,18,80,8170000,1670000
15,18,100,7030000,1740000
15,18,120,6930000,1790000
15,18,150,5450000,1680000
2,20,0,881000,4760000
2,20,5,834000,6430000
2,20,10,2230000,6190000
2,20,20,2700000,5680000
2,20,30,1890000,7110000
2,20,40,3260000,8520000
2,20,50,3800000,6220000
2,20,60,3440000,5970000
2,20,80,1950000,3860000
2,20,100,6540000,6600000
2,20,120,6400000,6130000
2,20,150,6710000,6560000
10,23,0,3130000,1590000
10,23,10,10100000,853000
10,23,20,12900000,783000
10,23,40,10900000,360000
10,23,50,20100000,807000
10,23,60,12600000,234000
10,23,80,19100000,458000
10,23,100,14100000,495000
10,23,120,18700000,656000
0,36,40,392000,435000
2,36,40,4900000,1580000
5,36,40,4860000,1020000
10,36,40,6130000,888000
15,36,40,5240000,903000
20,36,40,4110000,180000
30,36,40,2750000,140000
60,36,40,2050000,433000
120,36,40,625000,48426
0,58,40,1400000,3510000
10,58,40,13800000,6030000
30,58,40,11800000,3620000
120,58,40,2600000,384000
5,59,40,6300000,872000
20,59,40,17800000,1940000
60,59,40,5380000,283000
0,69,40,1830000,587000
10,69,40,5630000,183000
20,69,40,12200000,516000
30,69,40,6650000,390000
60,69,40,5200000,316000
120,69,40,3240000,84175
0,73,40,2510000,714000
10,73,40,13300000,484000
20,73,40,9830000,172000
30,73,40,4880000,144000
60,73,40,6820000,194000
120,73,40,6180000,207000
0,80,40,1630000,233000
10,80,40,2780000,156000
20,80,40,2910000,159000
60,80,40,2030000,59661
0,119,40,546000,92015
0,119,40,356000,192000
2,119,40,574000,8219
5,119,40,1110000,21780
7,119,40,1310000,47251
10,119,40,1470000,22845
12,119,40,1550000,43949
15,119,40,2890000,90148
20,119,40,3330000,165000
25,119,40,2580000,95216
30,119,40,1930000,55035
35,119,40,1880000,78690
40,119,40,1590000,48958
60,119,40,570000,28653
80,119,40,1550000,17457
100,119,40,1690000,69468
120,119,40,1140000,13989
180,119,40,1050000,48888
0,750,40,2366172.16,6256452
5,750,40,4509001.85,4175775.88
20,750,40,10257451.55,6909818.07
40,750,40,3196800.49,2007389
120,750,40,3320783.28,2762030
2,751,40,6210469.29,6811415
10,751,40,6951185.27,3840699
30,751,40,6198645.03,4887461
60,751,40,8507661.55,3571973
